image_index,path
21,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\4a7ac94a77.jpg
22,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\4b34ae210e.jpg
23,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\4c1a9e1748.jpg
24,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\4d318a1d0c.jpg
25,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\4e289b089c.jpg
26,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\4f8914a4bf.jpg
27,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\4fc817a1a4.jpg
28,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\51cd87fe30.jpg
29,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\52f409a5eb.jpg
30,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\53c0802181.jpg
31,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\5a57c96bfc.jpg
32,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\5aa9621cee.jpg
33,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\5b489b49c5.jpg
34,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\5c80c9eead.jpg
35,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\5d7b92fe3b.jpg
36,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\5d7bbc6c41.jpg
37,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\5e59fcf9f7.jpg
38,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\5f814c0627.jpg
39,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\6cf77d8214.jpg
40,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\6d6844727c.jpg
41,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\6d6cb5a684.jpg
42,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\7a45605b40.jpg
43,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\7be52ec49b.jpg
44,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\7cbe48f6fd.jpg
45,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\7dd0b5855c.jpg
46,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\7de8263e6c.jpg
47,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\7e3e13cb8c.jpg
48,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\8e922b7b00.jpg
49,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\9b0c2c7742.jpg
50,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\biryani\9c42c23e69.jpg
51,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\01fe6cca57.jpg
52,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\06a10b3c3b.jpg
53,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\07a20c7587.jpg
54,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\07b1fd2bea.jpg
55,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\0abcfb9143.jpg
56,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\0b8929f2d5.jpg
57,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\0c434784ec.jpg
58,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\0e639d80b3.jpg
59,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\0f206058b0.jpg
60,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\10b105bbcf.jpg
61,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\1b4b8c3cc3.jpg
62,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\1ceb727efe.jpg
63,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\1d81eaece2.jpg
64,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\1e4ee59203.jpg
65,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\1e7b70c7ec.jpg
66,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\1fda470ebc.jpg
67,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\1ff3ffa923.jpg
68,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\3a59c4d7b6.jpg
69,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\3c1e55f366.jpg
70,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\3cb176e471.jpg
71,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\3eced435ef.jpg
72,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\4a4e427baf.jpg
73,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\4a50ef0249.jpg
74,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\4a78619b2a.jpg
75,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\4b793400cc.jpg
76,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\4cf37c3b5a.jpg
77,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\4e44f65e50.jpg
78,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\4eb521696a.jpg
79,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\4fe96eb701.jpg
80,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\5b2870bb2a.jpg
81,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\5d02581328.jpg
82,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\6b508a31f2.jpg
83,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\6c4184dfd1.jpg
84,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\6cd666a8bf.jpg
85,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\6d4cc10345.jpg
86,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\6ede1680e9.jpg
87,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\6ef6d2e8ee.jpg
88,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\7ac080874b.jpg
89,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\7b832d20cc.jpg
90,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\7fbe7b01b9.jpg
91,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\8a7a04c719.jpg
92,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\8ab801783a.jpg
93,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\8b92abb5e9.jpg
94,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\8bff1804b3.jpg
95,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\8c68184523.jpg
96,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\8d15768f3d.jpg
97,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\8ec8a0742f.jpg
98,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\8fdf5b11ab.jpg
99,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\9c7d817f3c.jpg
100,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\ARROS I CEREALS\poha\9dd3b41182.jpg
101,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\00d4263b19.jpg
102,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\017d206bca.jpg
103,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\039c8b43a4.jpg
104,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\0b59806867.jpg
105,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\0bbaf9ac9a.jpg
106,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\0c0c52729b.jpg
107,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\12bb043e56.jpg
108,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\14a01617e4.jpg
109,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\18d165284c.jpg
110,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\19a1eaf912.jpg
111,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\1a5c0b34c9.jpg
112,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\1a71f26a1e.jpg
113,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\21ccc36e7e.jpg
114,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\27d3c2267c.jpg
115,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\27e01a9780.jpg
116,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\29ac49412d.jpg
117,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\29c7bbbed5.jpg
118,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\2a74582aa6.jpg
119,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\2a93afc49b.jpg
120,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\2ce18ad8e9.jpg
121,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\32a5f5b483.jpg
122,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\35a26d15cc.jpg
123,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\38a4a135dd.jpg
124,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\3a8807852b.jpg
125,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\3df05a7c56.jpg
126,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\3f88f604c4.jpg
127,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\3ff45bc50d.jpg
128,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\4a5f1a2ab3.jpg
129,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\4aa81d7cfc.jpg
130,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\4f1414d74c.jpg
131,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\4f83f264bc.jpg
132,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\5d633cebaa.jpg
133,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\5dd7de505e.jpg
134,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\5fd4b14d4c.jpg
135,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\6c5a3fdbb9.jpg
136,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\7bdb33b680.jpg
137,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\7d5dcb6ac4.jpg
138,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\7e9b6b9134.jpg
139,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\8bd081be15.jpg
140,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\8cfb70fceb.jpg
141,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\8d039baaee.jpg
142,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\8ee25d4267.jpg
143,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\8fbbb9f39c.jpg
144,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\8fe3ba4d36.jpg
145,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\9a08a9f932.jpg
146,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\9b128b45f7.jpg
147,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\9bd824d02c.jpg
148,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\9ca2d03fd0.jpg
149,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\9e68842803.jpg
150,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\chapati\9f716e6c4c.jpg
151,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\007e9e0273.jpg
152,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\05ba3da592.jpg
153,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\09c456b877.jpg
154,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\0b86c42640.jpg
155,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\0cec4e0531.jpg
156,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\12ac00c5f5.jpg
157,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\13ff51e4ef.jpg
158,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\16ffa15823.jpg
159,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\1b155746eb.jpg
160,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\1d093560d8.jpg
161,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\1d18721854.jpg
162,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\24c184bcc8.jpg
163,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\26a8e0331e.jpg
164,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\2ad004ccda.jpg
165,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\2f391c5204.jpg
166,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\2f50fb37a3.jpg
167,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\30a1d23643.jpg
168,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\30c7edd006.jpg
169,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\31a442ce78.jpg
170,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\31f967d4d7.jpg
171,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\32d87a7451.jpg
172,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\33a4e9a493.jpg
173,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\34f9a7fc91.jpg
174,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\36f6de1d1a.jpg
175,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\38d4b1ccf5.jpg
176,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\3a8cff5201.jpg
177,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\3c7e86379b.jpg
178,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\3dfe5ad92d.jpg
179,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\4ebd580dff.jpg
180,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\4f58ec6c79.jpg
181,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\4fe142bd3e.jpg
182,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\5aafed78a1.jpg
183,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\5bbd88e4a8.jpg
184,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\5cf18311c1.jpg
185,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\5dfe251320.jpg
186,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\5e20542096.jpg
187,c:\Users\abelg\PROJECTE COMPUTACIONAL\Indian Food Images\Indian Food Generalitzat\PA\makki_di_roti_sarson_da_saag\5e71649547.jpg
